YEAR_MONTH,COMMUNITY_AREA,Abandoned Vehicle Complaint,Alley Light Out Complaint,Alley Pothole Complaint,Alley Sewer Inspection Request,Blue Recycling Cart,Building Violation,Buildings - Plumbing Violation,Business Complaints,Check for Leak,Clean Vacant Lot Request,Consumer Fraud Complaint,Coyote Interaction Complaint,Dead Animal Pick-Up Request,Fly Dumping Complaint,Garbage Cart Maintenance,Graffiti Removal Request,Inspect Public Way Request,Low Water Pressure Complaint,Missed Garbage Pick-Up Complaint,No Building Permit and Construction Violation,No Water Complaint,Nuisance Animal Complaint,Open Fire Hydrant Complaint,Pet Wellness Check Request,Pothole in Street Complaint,Recycling Pick Up,Report an Injured Animal,Restaurant Complaint,Rodent Baiting/Rat Complaint,Sanitation Code Violation,Sewer Cave-In Inspection Request,Sewer Cleaning Inspection Request,Sidewalk Inspection Request,Sign Repair Request - All Other Signs,Sign Repair Request - Do Not Enter Sign,Sign Repair Request - One Way Sign,Sign Repair Request - Stop Sign,Stray Animal Complaint,Street Cleaning Request,Street Light Out Complaint,Street Light Pole Damage Complaint,Traffic Signal Out Complaint,Tree Debris Clean-Up Request,Tree Emergency,Tree Planting Request,Tree Removal Inspection,Tree Trim Request (NO LONGER BEING ACCEPTED),Vacant/Abandoned Building Complaint,Vicious Animal Complaint,Water Lead Test Kit Request,Water On Street Complaint,Water Quality Concern,Water in Basement Complaint,Weed Removal Request,Yard Waste Pick-Up Request,total_volume_area_1,total_volume_area_2,total_volume_area_3,total_volume_area_4,total_volume_area_9,total_volume_area_10,total_volume_area_11,total_volume_area_12,total_volume_area_13,total_volume_area_14
2019-11,1,29,16,3,1,3,40,10,0,2,0,2,7,8,15,15,147,16,0,4,4,0,1,1,4,25,2,4,4,46,3,3,10,2,72,0,1,14,4,9,62,5,32,35,23,5,3,14,0,6,22,7,1,3,0,39,784.0,,,,,,,,,
2019-12,1,35,9,10,5,1,28,6,0,9,0,0,1,8,16,13,173,12,2,1,4,5,1,2,1,31,2,3,1,43,6,2,9,4,55,0,0,5,7,5,81,0,25,8,7,1,8,12,1,3,15,10,0,2,0,18,706.0,,,,,,,,,
2020-01,1,45,11,5,0,5,52,7,1,8,0,2,8,7,6,14,256,8,2,0,4,2,0,0,4,57,4,4,2,48,9,7,10,6,27,1,1,5,3,1,50,4,54,3,2,10,2,5,2,1,16,14,1,3,0,1,800.0,,,,,,,,,
2020-02,1,53,7,5,1,4,22,5,1,10,0,0,1,1,3,19,84,5,1,4,5,0,1,0,0,62,0,0,4,47,19,4,12,3,41,0,0,4,2,2,32,1,21,3,4,4,1,6,0,2,6,0,1,3,0,4,520.0,,,,,,,,,
2020-03,1,23,14,8,1,3,24,11,7,7,2,3,1,6,6,10,142,29,0,4,5,10,2,0,0,24,5,2,3,54,16,9,4,1,26,2,6,2,4,2,97,3,30,4,3,8,8,10,0,3,7,4,3,6,0,3,667.0,,,,,,,,,
2020-04,1,22,6,11,3,6,21,9,25,9,2,0,2,2,6,17,125,42,2,1,7,9,4,0,1,49,1,5,1,78,16,0,9,3,7,1,1,0,7,0,10,4,18,4,1,2,6,5,0,3,0,13,0,6,0,15,597.0,,,,,,,,,
2020-05,1,29,11,14,4,7,29,8,13,1,1,2,1,18,15,30,156,38,1,3,8,0,3,0,0,60,1,9,4,80,28,9,33,5,20,1,2,8,8,5,32,1,25,10,6,6,8,26,1,4,6,19,0,19,0,10,838.0,,,,,,,,,
2020-06,1,22,13,22,3,10,39,4,7,7,0,1,2,7,14,33,220,46,1,8,9,1,8,1,6,68,1,14,3,111,32,7,11,7,31,0,2,3,7,4,37,5,29,34,48,3,19,60,1,4,5,11,0,1,2,15,1059.0,,,,,,,,,
2020-07,1,50,7,14,1,17,62,16,9,8,1,2,3,9,5,22,177,19,1,6,9,0,7,0,5,46,5,3,0,111,14,5,7,11,43,0,0,1,5,6,19,4,20,26,62,4,18,70,3,1,11,9,0,3,1,14,972.0,,,,,,,,,
2020-08,1,46,6,10,0,12,45,14,14,17,0,1,0,19,10,31,191,8,2,6,8,4,14,32,2,30,5,6,3,121,20,2,7,12,24,0,0,3,3,1,54,18,23,192,248,8,39,63,1,13,14,10,1,3,10,18,1444.0,,,,,,,,,
2020-09,1,49,11,8,4,8,34,9,13,7,3,1,0,19,2,25,293,6,1,5,7,0,15,9,2,28,5,17,2,136,26,7,5,8,22,0,3,3,3,1,85,8,29,52,33,5,17,40,1,6,16,10,4,6,3,12,1124.0,,,,,,,,,
2020-10,1,46,13,3,2,6,26,5,19,13,2,1,0,13,2,24,140,5,3,1,7,2,9,9,4,20,1,7,6,102,23,0,20,2,51,1,4,0,1,3,20,1,34,22,20,5,8,23,2,3,5,8,1,5,0,15,768.0,,,,,,,,,
2020-11,1,30,19,7,2,7,27,6,9,7,2,1,0,12,3,31,124,4,3,4,5,6,3,2,1,18,1,10,2,54,7,1,3,4,22,0,0,1,4,7,18,2,19,10,11,5,4,6,0,0,4,2,0,3,0,54,587.0,,,,,,,,,
2020-12,1,40,8,8,0,12,29,7,6,9,1,2,0,10,5,19,395,8,0,0,8,3,4,18,6,20,1,3,1,66,17,0,12,0,17,1,2,8,3,3,13,2,23,6,10,1,12,25,0,3,8,3,1,0,0,18,877.0,,,,,,,,,
2021-01,1,35,7,8,1,8,26,11,4,19,0,2,0,1,6,13,149,5,4,2,1,1,3,1,3,26,4,4,2,50,11,1,2,2,21,0,2,5,2,0,22,1,9,1,0,7,3,2,0,2,11,7,1,0,0,5,513.0,,,,,,,,,
2021-02,1,19,10,0,0,5,59,9,2,12,1,2,0,2,5,10,57,0,3,24,3,5,5,0,3,32,9,2,2,20,36,1,2,1,8,0,0,1,2,0,26,3,30,0,0,4,0,9,0,0,6,5,1,0,0,0,436.0,,,,,,,,,
2021-03,1,46,8,15,0,8,38,9,7,10,0,2,2,14,4,23,99,1,2,5,6,9,5,0,1,107,7,1,2,68,26,9,5,9,20,1,0,9,7,4,18,11,19,10,7,21,23,16,0,2,24,3,1,7,0,11,762.0,,,,,,,,,
2021-04,1,52,4,2,11,8,27,12,5,3,3,0,3,16,7,31,199,9,3,2,7,0,9,1,11,49,3,4,2,74,25,7,3,3,45,1,0,5,3,4,15,5,29,12,15,52,10,26,2,3,15,2,1,0,0,16,856.0,,,,,,,,,
2021-05,1,47,4,3,7,8,35,12,4,2,0,2,3,14,12,23,114,0,0,1,4,0,15,2,2,11,3,9,3,83,19,0,14,5,20,2,3,4,5,1,22,0,33,24,23,28,20,34,0,1,8,4,3,2,6,24,728.0,,,,,,,,,
2021-06,1,44,6,5,9,7,30,10,2,4,1,0,1,14,7,28,143,6,2,5,7,5,9,1,6,45,2,7,1,125,23,12,22,13,23,0,1,0,6,3,34,4,19,40,40,10,22,47,1,4,6,16,0,23,2,18,921.0,,,,,,,,,
2021-07,1,42,7,10,1,12,30,5,0,4,2,1,0,14,7,33,81,5,1,2,8,1,4,0,7,45,7,11,2,129,20,7,11,3,30,0,0,3,7,2,15,1,9,31,23,16,15,36,0,3,29,7,1,5,4,26,775.0,,,,,,,,,
2021-08,1,41,3,6,0,5,33,14,4,4,0,0,0,17,7,25,183,9,2,2,2,1,5,11,2,33,4,14,4,130,18,12,10,11,31,0,0,2,5,3,26,2,15,81,77,9,20,41,3,6,15,8,1,17,2,17,993.0,,,,,,,,,
2021-09,1,44,6,6,0,9,37,13,12,2,2,0,0,23,10,23,136,15,1,2,11,5,4,4,1,7,0,10,5,117,16,9,15,4,35,0,1,2,1,6,21,7,28,30,21,11,15,32,3,3,15,2,2,3,2,10,799.0,,,,,,,,,
2021-10,1,46,4,7,6,10,33,9,4,6,2,1,0,11,4,19,60,6,5,3,3,4,3,0,8,16,2,6,3,128,16,4,18,10,29,0,1,3,3,3,55,10,30,35,52,3,17,28,4,4,16,23,0,10,0,29,812.0,,,,,,,,,
2021-11,1,41,11,7,0,5,23,4,1,8,0,0,0,8,2,20,62,5,5,3,4,10,4,20,1,32,2,4,4,96,11,5,7,6,10,0,2,2,1,3,33,4,39,20,2,0,1,6,0,1,9,4,0,1,0,49,598.0,,,,,,,,,
2021-12,1,36,3,3,0,7,31,13,5,10,3,2,1,9,4,12,44,3,3,3,5,3,4,0,5,22,3,7,10,90,11,1,2,2,43,1,0,3,6,3,4,11,29,9,8,0,4,8,3,4,6,6,2,5,0,30,542.0,,,,,,,,,
2022-01,1,41,1,2,1,7,40,18,4,17,0,0,1,0,5,12,138,6,1,0,9,6,3,1,5,21,3,7,3,59,12,3,3,5,19,0,0,2,7,1,29,1,19,2,3,2,3,1,0,2,3,6,0,4,0,2,540.0,,,,,,,,,
2022-02,1,58,6,0,3,8,26,8,2,20,0,0,4,3,2,16,69,1,0,3,4,4,1,6,3,53,4,2,8,34,12,4,4,5,32,0,0,3,1,0,107,5,7,5,3,11,2,1,2,1,16,9,2,5,0,0,585.0,,,,,,,,,
2022-03,1,67,11,9,2,10,35,5,0,17,3,0,0,15,2,16,184,9,5,3,8,1,2,6,3,115,5,12,4,90,14,12,3,3,20,0,0,0,2,2,23,0,28,13,7,10,11,0,2,6,14,22,1,1,0,11,844.0,,,,,,,,,
2022-04,1,63,1,7,5,13,36,5,1,19,1,0,0,18,3,19,137,6,0,8,6,0,7,3,1,189,0,5,3,112,14,13,11,4,52,0,0,5,14,0,43,6,33,13,4,10,9,14,1,11,12,17,1,0,0,18,973.0,,,,,,,,,
2022-05,1,47,3,12,2,7,45,6,2,3,2,3,1,16,7,18,161,11,1,4,4,4,17,4,2,156,6,6,6,99,17,9,18,8,15,3,8,12,5,1,32,2,41,10,18,9,14,47,0,11,10,11,0,0,0,28,984.0,,,,,,,,,
2022-06,1,56,4,7,0,11,35,5,1,5,0,0,3,7,9,20,95,10,1,2,15,2,7,7,9,144,3,8,5,116,12,4,12,7,19,0,1,5,15,2,30,5,36,22,26,9,18,45,0,3,11,3,0,1,5,31,909.0,,,,,,,,,
2022-07,1,44,1,13,2,9,39,8,2,7,3,0,0,9,10,18,110,8,8,9,5,8,5,1,2,169,13,6,2,118,25,5,20,36,11,0,1,3,5,3,14,2,24,62,51,10,14,58,0,4,15,7,2,3,6,28,1038.0,,,,,,,,,
2022-08,1,51,3,11,7,3,35,6,4,3,2,1,0,15,7,22,250,13,3,3,8,1,5,2,3,77,3,11,3,128,10,6,9,3,10,2,11,4,8,2,14,2,31,57,39,6,17,41,3,4,49,2,0,3,2,38,1053.0,,,,,,,,,
2022-09,1,61,6,5,3,5,36,17,4,1,1,2,0,29,12,22,120,1,5,6,8,5,4,7,7,27,6,6,4,86,14,3,23,9,14,1,1,10,3,5,36,3,21,52,15,4,20,21,2,2,51,33,1,309,2,14,1165.0,,,,,,,,,
2022-10,1,32,2,1,3,1,27,13,1,27,0,2,0,14,4,9,92,2,4,3,4,2,8,3,3,25,3,18,4,60,5,2,17,7,8,0,2,2,8,1,85,5,26,22,14,4,9,23,0,7,15,9,0,13,1,31,683.0,,,,,,,,,
2022-11,1,37,3,8,1,1,38,10,0,19,2,0,1,7,4,11,86,4,1,1,5,0,4,2,1,20,3,2,4,60,5,0,5,4,15,1,1,11,2,5,11,4,18,57,49,6,10,10,0,0,14,6,2,7,0,52,630.0,,,,,,,,,
2022-12,1,50,5,5,0,5,33,22,1,21,0,1,0,7,4,10,56,3,0,5,9,9,2,2,4,49,3,1,4,37,9,0,12,12,11,0,0,3,4,1,24,3,11,7,1,3,5,2,0,5,7,16,0,4,0,26,514.0,,,,,,,,,
2023-01,1,63,1,4,1,8,32,14,1,19,0,1,1,6,6,13,78,1,1,4,2,6,3,0,6,102,4,3,2,57,20,3,6,3,7,0,2,2,8,2,20,5,27,6,2,0,4,0,0,6,22,8,1,1,0,2,596.0,,,,,,,,,
2023-02,1,70,4,11,1,3,30,15,1,12,0,2,0,6,4,17,95,5,1,1,2,2,1,2,4,137,0,4,1,44,15,9,7,5,10,0,0,7,2,4,27,0,33,8,1,4,4,15,0,3,15,27,1,6,0,2,680.0,,,,,,,,,
2023-03,1,75,15,9,1,7,28,18,3,7,1,1,0,13,11,16,120,4,3,5,4,2,13,2,4,123,0,2,0,48,22,20,19,7,8,1,1,7,9,5,25,0,18,10,2,15,6,8,1,7,9,11,1,4,0,4,755.0,,,,,,,,,
2023-04,1,64,8,12,2,4,35,10,3,2,0,0,0,10,3,23,137,9,0,4,6,4,2,2,2,93,0,5,3,76,18,15,16,12,11,0,0,3,6,4,17,3,30,4,2,20,6,53,0,2,14,4,0,2,0,23,784.0,,,,,,,,,
2023-05,1,71,10,10,2,9,27,10,5,10,1,1,1,19,9,19,135,6,4,7,8,8,8,2,3,60,1,9,2,99,20,5,4,4,7,0,0,0,12,2,10,1,19,9,12,11,14,98,1,3,21,5,2,1,9,39,865.0,,,,,,,,,
2023-06,1,85,5,12,3,5,48,10,3,4,2,1,0,20,5,20,91,8,0,1,8,8,2,0,1,46,2,8,4,110,26,12,10,10,6,0,2,4,5,10,23,1,21,34,36,17,28,36,1,6,23,6,3,3,3,33,871.0,,,,,,,,,
2023-07,1,46,0,19,1,12,41,11,3,1,2,3,0,10,10,15,95,14,2,13,2,2,7,0,2,87,0,5,1,107,25,6,9,3,7,0,1,3,3,2,30,1,18,79,73,4,19,49,0,6,16,19,0,10,4,40,938.0,,,,,,,,,
2023-08,1,61,1,7,5,10,41,24,2,7,5,1,1,20,13,20,85,14,1,9,4,3,7,5,5,50,1,17,9,96,22,8,10,9,14,0,1,4,12,5,27,4,21,65,39,3,20,18,0,3,11,7,1,2,6,51,887.0,,,,,,,,,
2023-09,1,54,1,8,3,10,44,11,0,13,0,0,1,10,17,26,84,9,2,3,2,7,9,3,3,33,2,9,0,120,14,3,5,5,18,1,0,5,12,2,9,2,25,25,34,19,20,22,0,5,14,18,2,3,2,26,775.0,,,,,,,,,
2023-10,1,64,3,4,3,2,32,12,2,9,4,4,0,17,8,16,135,8,1,4,10,2,2,2,3,27,3,6,4,81,10,1,9,7,19,1,3,5,8,2,25,1,53,28,29,15,20,56,1,8,13,3,0,1,1,35,822.0,,,,,,,,,
2023-11,1,63,6,2,2,10,34,7,2,3,0,0,0,3,14,12,142,7,0,11,11,2,1,4,2,26,6,6,3,66,10,2,4,1,5,0,0,1,8,6,14,1,16,20,7,10,14,82,0,2,20,1,1,1,0,57,728.0,,,,,,,,,
2023-12,1,69,3,4,1,8,34,8,1,8,0,3,0,4,8,10,78,4,1,3,1,2,5,2,4,55,1,0,1,66,10,1,3,0,5,1,0,4,6,7,27,2,13,7,6,4,8,47,2,4,15,11,1,3,0,34,605.0,,,,,,,,,
2024-01,1,73,4,9,2,1,38,15,3,5,1,3,5,11,5,16,111,6,3,16,5,5,2,2,3,134,6,1,1,50,21,0,6,12,22,0,0,2,6,1,25,4,11,13,20,3,6,11,2,2,11,23,0,3,0,8,748.0,,,,,,,,,
2024-02,1,98,12,7,0,6,36,21,2,20,2,2,0,9,5,16,107,3,3,4,12,3,2,4,4,198,0,3,4,54,10,1,2,2,17,0,0,5,6,7,22,2,14,12,8,3,8,27,0,8,16,6,3,2,0,5,823.0,,,,,,,,,
2024-03,1,96,1,9,2,10,29,9,5,6,2,3,2,12,15,13,138,12,1,8,3,0,3,2,5,109,2,8,4,46,12,3,8,6,15,0,2,4,2,4,5,3,54,6,2,12,6,39,0,5,32,18,3,1,0,20,817.0,,,,,,,,,
2024-04,1,79,2,9,3,6,41,5,4,5,2,2,1,11,7,14,122,11,1,5,4,2,5,2,1,77,2,11,1,57,13,3,10,8,17,0,0,0,5,8,12,1,11,13,15,7,12,112,0,4,44,31,2,4,0,31,855.0,,,,,,,,,
2024-05,1,76,3,17,6,6,33,12,3,5,0,1,0,15,14,13,91,5,0,5,4,1,5,1,3,81,1,10,2,62,14,6,15,5,9,0,0,4,5,3,27,2,19,81,74,13,41,43,2,1,12,32,0,7,7,41,938.0,,,,,,,,,
2024-06,1,48,2,11,6,9,46,9,2,15,2,1,0,17,6,29,141,6,1,8,6,2,0,14,3,51,2,3,1,76,12,3,14,4,12,1,3,5,3,3,30,3,15,95,32,45,29,34,6,6,14,30,2,6,3,42,969.0,,,,,,,,,
2024-07,1,45,2,8,2,6,45,7,2,2,1,2,0,17,10,18,158,6,0,9,5,0,6,0,2,32,7,5,2,94,13,7,11,11,14,0,0,0,2,5,15,4,17,52,40,4,34,36,2,5,18,28,1,12,7,34,865.0,,,,,,,,,
2024-08,1,55,1,11,6,5,44,6,7,16,1,3,0,23,23,14,121,8,4,3,5,2,4,26,11,31,2,10,2,101,20,2,8,10,13,0,0,3,4,7,13,4,14,37,35,11,26,74,2,6,6,17,1,4,3,39,904.0,,,,,,,,,
2024-09,1,50,0,3,6,3,30,14,1,7,2,1,0,23,16,17,103,6,1,5,6,1,5,12,8,30,3,8,1,70,16,5,2,8,14,0,0,8,2,4,19,0,39,37,19,7,28,1,2,6,13,7,1,2,3,27,702.0,,,,,,,,,
2024-10,1,75,0,9,4,9,40,17,4,8,1,0,1,33,14,15,163,2,1,0,14,4,5,1,1,47,2,21,1,100,17,2,0,7,10,0,1,6,10,0,16,17,15,27,34,3,10,47,2,14,18,4,0,1,3,37,893.0,,,,,,,,,
2024-11,1,44,7,2,0,4,28,28,3,7,2,1,0,16,5,19,123,3,0,2,7,1,6,3,2,32,0,6,0,51,12,4,4,4,26,2,1,2,6,4,38,1,22,27,24,5,14,45,0,4,6,15,0,6,0,47,721.0,,,,,,,,,
2024-12,1,46,5,2,0,6,38,12,2,12,0,1,1,9,7,17,175,3,2,6,1,1,9,4,4,32,2,0,4,31,13,2,6,2,7,0,2,7,1,4,18,3,9,6,11,0,3,123,0,1,11,4,0,0,0,30,695.0,,,,,,,,,
2025-01,1,66,4,5,4,5,33,18,5,17,1,0,6,4,7,7,179,1,1,8,4,5,6,5,4,101,4,3,0,56,14,1,11,8,14,3,2,5,9,4,52,5,23,6,3,1,3,51,1,2,11,34,0,2,0,6,830.0,,,,,,,,,
2025-02,1,63,1,4,3,10,30,13,4,8,0,0,19,3,3,15,167,3,1,2,7,1,12,2,4,79,1,3,1,48,12,0,6,4,15,0,0,4,3,1,39,2,21,3,5,9,4,91,0,4,5,3,0,0,0,3,741.0,,,,,,,,,
2025-03,1,82,5,10,1,10,33,26,2,11,0,1,4,18,15,17,162,4,1,9,11,6,9,3,6,51,4,8,0,46,28,8,5,3,28,1,3,4,5,3,28,4,27,3,15,2,15,63,2,1,10,11,0,1,0,20,845.0,,,,,,,,,
2025-04,1,77,4,26,5,8,39,10,1,5,1,2,1,8,8,12,131,3,0,8,2,0,13,0,2,77,1,5,0,74,8,10,32,8,33,1,0,3,4,2,25,7,31,16,20,6,8,60,0,1,4,19,1,2,0,49,873.0,,,,,,,,,
2025-05,1,62,2,10,5,6,44,17,4,10,2,1,0,13,19,17,154,6,1,8,16,0,9,0,2,45,1,9,2,61,18,11,4,21,30,0,2,7,8,1,19,7,37,47,48,21,31,20,0,3,10,23,0,4,1,52,951.0,,,,,,,,,
2025-06,1,102,1,6,2,14,39,12,5,7,0,0,0,29,18,23,77,5,1,15,13,3,9,0,2,42,6,11,2,103,28,1,7,4,23,0,1,9,4,6,19,2,37,63,48,10,29,24,2,8,22,15,1,2,7,51,970.0,,,,,,,,,
2025-07,1,75,3,6,12,12,52,19,1,4,1,1,0,20,21,25,116,9,1,11,3,4,6,1,1,67,13,11,5,117,33,3,7,4,35,0,2,4,7,3,29,3,23,66,23,8,27,55,4,3,49,21,1,4,7,60,1098.0,,,,,,,,,
2025-08,1,79,4,4,9,9,42,13,1,4,2,3,0,19,27,16,89,1,0,5,3,2,6,3,4,25,5,7,5,116,23,4,12,7,16,0,2,4,5,2,25,2,30,48,70,7,30,54,5,10,67,29,0,16,9,48,1028.0,,,,,,,,,
2025-09,1,65,6,5,1,13,41,9,3,3,5,0,1,24,27,26,77,3,0,9,6,1,8,18,3,19,3,6,3,117,16,1,4,6,17,0,2,1,9,2,18,4,26,19,26,3,20,19,2,5,47,1,3,4,10,42,809.0,,,,,,,,,
2025-10,1,50,4,2,2,4,48,18,1,35,0,2,0,15,23,19,87,6,2,5,9,6,13,0,13,16,1,12,2,69,16,5,8,5,12,2,0,0,7,1,16,3,25,12,15,0,17,20,0,8,22,10,0,5,3,21,697.0,,,,,,,,,
2025-11,1,72,5,1,3,7,33,19,0,2,1,1,2,11,14,14,72,6,1,3,3,0,5,1,10,12,2,3,2,73,17,2,4,1,12,1,3,5,1,3,19,1,27,16,15,2,12,62,0,5,35,3,0,4,0,70,698.0,,,,,,,,,
2025-12,1,81,4,1,2,10,53,32,0,6,2,2,0,2,13,15,44,3,5,28,12,2,2,0,3,26,9,4,1,33,24,0,5,3,7,0,2,1,3,1,28,4,37,3,4,1,2,118,0,1,13,19,0,0,0,20,691.0,,,,,,,,,
2019-01,2,11,11,4,1,5,29,8,1,0,0,5,0,0,0,0,0,0,2,0,1,0,1,0,2,14,0,0,5,0,4,2,5,193,9,0,0,0,4,0,36,0,4,0,0,10,7,19,1,0,64,0,0,0,0,0,,458.0,,,,,,,,
2019-02,2,40,19,13,4,10,26,10,1,5,0,4,0,2,0,38,5,2,2,0,0,0,3,1,0,261,4,0,4,3,1,7,17,10,9,0,0,0,1,1,58,2,4,2,1,5,18,24,0,0,89,2,1,0,0,0,,709.0,,,,,,,,
2019-03,2,72,37,52,3,17,39,1,2,29,2,8,1,14,14,70,45,9,1,3,5,3,5,2,1,455,0,2,17,61,30,20,27,14,34,1,0,5,3,3,91,7,20,23,15,14,23,57,2,2,151,15,4,4,0,6,,1541.0,,,,,,,,
2019-04,2,72,22,63,3,18,48,8,6,12,0,5,0,19,12,83,46,9,2,5,1,5,4,0,4,155,2,5,4,86,24,22,53,13,27,0,3,6,13,7,78,6,59,33,30,16,30,43,2,2,49,37,3,3,0,10,,1268.0,,,,,,,,
2019-05,2,62,30,81,3,19,35,6,6,18,1,1,0,18,6,77,39,21,2,4,9,6,8,2,3,275,1,10,0,104,34,30,71,22,36,1,5,6,9,7,135,8,51,67,72,14,53,100,4,4,32,69,0,6,6,21,,1710.0,,,,,,,,
2019-06,2,50,45,51,2,23,45,4,2,9,1,2,0,25,9,77,171,13,1,7,10,1,13,4,2,214,3,13,6,94,32,15,64,21,39,0,2,4,8,7,163,9,56,63,38,15,40,133,6,4,19,29,2,4,9,22,,1701.0,,,,,,,,
2019-07,2,67,46,69,3,20,56,8,2,17,0,4,1,30,13,93,222,25,9,9,6,12,5,3,10,280,6,22,8,126,31,24,54,19,62,1,11,8,11,3,198,1,44,51,72,13,47,175,1,6,212,23,3,8,0,18,,2268.0,,,,,,,,
2019-08,2,64,50,48,1,25,40,5,5,10,0,4,0,34,15,70,233,32,3,2,8,5,10,4,6,217,1,17,7,201,26,25,34,20,23,0,5,3,11,2,148,1,24,47,46,19,58,161,1,9,104,12,3,6,3,19,,1927.0,,,,,,,,
2019-09,2,62,59,49,6,15,36,9,0,26,2,9,0,51,13,87,107,16,3,4,8,10,11,3,6,190,1,11,4,129,27,19,39,20,77,4,4,6,5,4,268,7,35,39,62,42,39,105,2,8,193,26,7,7,5,6,,1983.0,,,,,,,,
2019-10,2,49,81,41,4,18,39,9,5,17,0,2,0,41,11,68,68,22,0,4,4,4,7,2,10,130,2,9,6,117,29,15,27,16,103,1,2,5,5,6,198,6,31,43,65,17,39,74,1,5,71,19,0,5,0,24,,1577.0,,,,,,,,
2019-11,2,60,53,42,2,14,29,10,5,16,4,0,0,23,7,61,105,14,2,2,7,4,8,7,9,89,1,6,4,119,17,13,16,6,187,0,9,9,12,12,170,7,16,58,40,18,6,30,3,1,35,11,1,3,0,33,,1416.0,,,,,,,,
