YEAR_MONTH,COMMUNITY_AREA,Abandoned Vehicle Complaint,Alley Light Out Complaint,Alley Pothole Complaint,Alley Sewer Inspection Request,Blue Recycling Cart,Building Violation,Buildings - Plumbing Violation,Business Complaints,Check for Leak,Clean Vacant Lot Request,Consumer Fraud Complaint,Coyote Interaction Complaint,Dead Animal Pick-Up Request,Fly Dumping Complaint,Garbage Cart Maintenance,Graffiti Removal Request,Inspect Public Way Request,Low Water Pressure Complaint,Missed Garbage Pick-Up Complaint,No Building Permit and Construction Violation,No Water Complaint,Nuisance Animal Complaint,Open Fire Hydrant Complaint,Pet Wellness Check Request,Pothole in Street Complaint,Recycling Pick Up,Report an Injured Animal,Restaurant Complaint,Rodent Baiting/Rat Complaint,Sanitation Code Violation,Sewer Cave-In Inspection Request,Sewer Cleaning Inspection Request,Sidewalk Inspection Request,Sign Repair Request - All Other Signs,Sign Repair Request - Do Not Enter Sign,Sign Repair Request - One Way Sign,Sign Repair Request - Stop Sign,Stray Animal Complaint,Street Cleaning Request,Street Light Out Complaint,Street Light Pole Damage Complaint,Traffic Signal Out Complaint,Tree Debris Clean-Up Request,Tree Emergency,Tree Planting Request,Tree Removal Inspection,Tree Trim Request (NO LONGER BEING ACCEPTED),Vacant/Abandoned Building Complaint,Vicious Animal Complaint,Water Lead Test Kit Request,Water On Street Complaint,Water Quality Concern,Water in Basement Complaint,Weed Removal Request,Yard Waste Pick-Up Request,total_volume_area_23,total_volume_area_24,total_volume_area_26
2020-09,23,114,16,24,3,63,48,8,5,12,24,4,3,18,35,143,179,6,4,15,14,3,10,11,10,28,12,14,3,138,31,5,7,8,57,1,2,8,12,5,139,5,35,38,20,20,23,63,13,19,4,7,0,2,350,5,1846.0,,
2020-10,23,72,29,25,6,54,42,9,16,5,13,2,4,19,32,124,124,8,4,10,6,3,16,1,4,19,9,9,4,161,24,8,11,10,28,2,11,7,23,8,64,11,14,27,10,1,18,29,3,10,1,7,0,11,177,14,1359.0,,
2020-11,23,69,16,7,1,54,28,17,22,10,13,1,6,16,27,118,117,4,2,24,19,4,6,1,5,11,16,5,2,110,22,5,9,2,24,2,2,4,10,11,69,6,22,19,6,7,17,9,15,8,5,8,0,0,183,25,1221.0,,
2020-12,23,70,17,24,0,49,32,28,17,12,13,4,3,13,45,117,347,4,4,33,15,7,9,1,11,27,11,5,3,109,33,3,11,2,63,0,4,9,27,5,91,7,25,11,3,2,12,22,3,11,3,7,0,5,0,12,1401.0,,
2021-01,23,80,17,10,4,46,23,18,14,15,5,2,4,9,26,122,80,4,1,9,9,5,5,1,9,48,21,7,0,71,26,2,5,4,61,2,5,9,15,1,14,7,14,3,4,2,6,12,10,10,3,3,2,5,0,2,892.0,,
2021-02,23,78,6,5,1,22,72,34,7,10,2,4,0,4,6,76,151,6,1,76,6,29,5,0,27,34,34,11,1,26,26,4,7,0,44,1,2,10,8,1,55,8,24,0,0,2,2,4,6,4,2,3,0,9,0,1,957.0,,
2021-03,23,166,11,17,3,69,46,14,11,23,25,2,1,20,50,150,211,11,0,33,13,2,9,2,2,83,41,14,5,134,48,4,7,5,67,1,1,5,17,8,68,12,14,18,1,8,14,55,9,6,11,1,0,11,0,9,1568.0,,
2021-04,23,125,13,30,0,83,54,8,8,9,26,4,2,22,48,165,161,3,4,12,11,8,10,0,3,46,14,13,4,160,49,5,9,10,192,2,2,12,21,8,31,9,21,17,5,8,22,48,20,19,9,3,0,5,0,16,1589.0,,
2021-05,23,73,12,20,1,69,39,19,9,18,34,1,0,10,30,140,145,10,4,18,7,3,16,11,2,33,17,22,3,145,65,1,4,10,73,1,12,7,12,13,59,4,19,12,15,14,78,80,14,6,3,2,0,4,26,15,1460.0,,
2021-06,23,115,6,22,4,59,45,20,7,25,31,2,1,15,36,162,139,11,7,28,10,4,13,61,6,27,26,13,1,226,80,17,46,12,53,1,0,7,7,6,26,7,25,50,42,12,33,114,20,9,3,29,0,61,368,14,2164.0,,
2021-07,23,78,3,16,4,44,61,13,3,30,41,0,1,14,53,167,97,19,8,26,9,2,11,147,7,41,14,19,1,179,46,11,32,15,39,1,2,3,15,7,39,3,27,58,36,9,33,103,13,11,36,6,1,21,165,18,1858.0,,
2021-08,23,86,7,12,8,45,50,16,8,13,42,2,2,25,60,123,109,16,2,10,13,8,4,49,9,32,9,26,4,173,79,8,19,5,26,0,3,2,16,6,35,5,13,44,39,15,16,157,28,6,25,13,2,8,61,11,1605.0,,
2021-09,23,74,11,12,1,49,46,14,9,16,27,1,0,17,46,117,87,18,4,16,12,7,8,14,6,34,12,11,3,210,63,9,18,10,36,2,9,6,14,12,15,12,14,40,10,12,20,48,20,10,13,2,2,1,70,15,1365.0,,
2021-10,23,91,5,18,8,42,38,16,7,18,24,2,3,20,31,102,73,9,10,16,6,6,12,2,10,42,4,6,4,180,46,9,16,6,34,1,2,7,23,5,20,12,26,39,23,7,23,56,19,17,14,26,0,4,0,15,1255.0,,
2021-11,23,71,8,4,0,37,37,14,5,14,7,6,5,12,32,92,81,4,4,19,12,1,14,2,16,46,6,9,5,97,22,5,4,2,55,0,2,7,24,5,36,4,14,13,3,6,17,21,5,10,6,5,0,1,0,22,949.0,,
2021-12,23,69,4,34,1,31,29,16,8,3,7,3,1,5,25,101,103,11,4,66,9,6,4,1,18,33,0,11,1,74,23,0,14,0,35,1,3,14,11,4,37,2,19,16,16,3,12,7,5,2,6,5,2,0,0,11,926.0,,
2022-01,23,98,3,2,0,39,33,22,4,21,1,5,3,10,20,80,142,4,4,25,6,28,8,0,15,20,23,10,2,62,18,1,9,3,30,2,2,13,17,3,33,6,27,1,1,2,5,0,7,4,6,7,1,0,0,2,890.0,,
2022-02,23,105,4,3,3,36,31,19,2,23,5,3,0,5,26,70,125,12,3,7,8,2,8,2,10,70,17,11,3,41,30,9,20,3,23,0,2,1,21,5,79,3,45,3,2,8,13,0,11,9,7,12,0,13,0,1,974.0,,
2022-03,23,128,12,42,5,48,48,16,3,19,32,2,1,13,57,85,181,11,3,11,14,3,11,6,10,144,8,6,1,84,40,8,23,12,32,0,1,5,23,17,39,5,62,18,5,8,13,0,12,10,11,25,1,3,0,4,1381.0,,
2022-04,23,112,6,33,5,36,59,12,2,13,26,3,0,15,85,98,98,17,0,9,13,0,16,1,7,185,6,6,1,91,46,8,36,14,17,3,8,14,23,12,38,5,14,23,7,11,14,40,11,12,5,23,0,9,3,7,1358.0,,
2022-05,23,102,7,32,1,32,48,9,6,7,28,5,2,38,51,104,107,17,3,14,10,7,17,40,6,104,7,25,3,96,30,10,21,6,10,0,5,7,31,8,30,4,32,32,9,48,17,67,9,12,16,17,1,10,44,18,1422.0,,
2022-06,23,103,5,22,3,55,51,13,4,18,29,3,1,16,66,123,96,14,2,18,14,6,11,107,17,85,10,14,5,124,39,16,21,7,15,1,1,7,25,5,39,5,25,54,53,13,26,74,14,14,13,7,2,9,74,18,1612.0,,
2022-07,23,79,4,20,0,40,37,10,8,15,27,2,2,14,54,124,117,14,6,18,6,2,6,20,7,39,10,16,8,136,28,14,11,13,13,1,2,15,29,7,32,2,20,49,30,439,31,86,19,8,11,8,0,4,52,21,1786.0,,
2022-08,23,119,4,18,2,37,53,9,7,15,80,2,0,20,79,121,185,12,7,21,4,4,11,38,4,49,8,12,5,116,43,7,11,8,26,2,5,7,22,9,110,6,23,133,58,17,28,84,13,20,10,8,0,1,28,22,1743.0,,
2022-09,23,87,6,14,0,31,38,14,4,11,42,2,1,28,57,106,108,10,6,27,11,5,3,0,5,25,9,17,2,130,23,8,9,8,8,2,1,5,32,8,53,5,18,67,23,18,30,70,11,21,22,6,1,8,25,10,1291.0,,
2022-10,23,92,16,9,0,28,33,11,3,5,17,0,0,19,45,82,137,6,4,17,9,8,12,1,13,10,4,21,0,116,20,8,4,5,23,1,2,13,33,10,22,1,15,34,14,24,34,58,27,17,12,4,0,4,10,19,1132.0,,
2022-11,23,67,19,30,1,32,20,9,4,18,13,2,0,11,34,78,129,3,2,19,11,3,13,0,9,10,5,5,1,70,19,5,5,4,9,0,3,13,23,6,52,2,17,14,12,22,10,37,4,10,6,3,1,4,2,32,933.0,,
2022-12,23,103,9,14,0,21,32,29,2,26,1,1,0,15,20,81,107,7,2,21,3,25,9,1,10,36,6,5,3,37,12,4,6,0,4,0,4,11,32,4,25,6,21,8,5,3,13,6,4,11,8,2,1,12,1,9,838.0,,
2023-01,23,104,11,12,1,28,45,11,5,21,9,1,1,11,30,90,119,7,3,11,10,5,11,0,9,113,6,7,1,55,16,4,9,8,14,1,0,7,31,13,29,5,27,2,0,12,11,0,8,11,6,9,1,6,0,2,969.0,,
2023-02,23,99,10,15,3,39,23,21,8,16,14,4,0,10,28,60,122,9,2,4,5,6,8,1,8,74,3,14,1,47,15,5,19,8,20,0,2,3,19,8,59,13,28,3,4,6,20,1,5,9,14,20,0,12,0,2,949.0,,
2023-03,23,110,9,51,0,45,38,15,5,8,26,0,0,17,46,89,132,10,0,11,10,1,6,1,16,86,7,8,4,54,19,1,28,6,22,1,2,2,21,18,41,3,32,10,9,13,15,3,10,9,8,26,1,4,0,2,1111.0,,
2023-04,23,68,9,23,1,51,29,10,3,5,75,2,0,8,39,121,130,18,3,8,3,2,8,3,4,57,7,19,3,60,24,9,14,16,25,0,0,6,22,17,42,11,20,43,70,17,41,4,7,18,9,11,2,7,0,18,1222.0,,
2023-05,23,113,9,13,3,53,37,5,7,12,19,1,0,21,39,106,124,7,5,8,10,9,18,0,7,50,7,14,2,99,22,6,11,16,19,2,1,4,27,19,42,5,42,14,21,28,24,19,10,6,13,5,2,0,16,31,1203.0,,
2023-06,23,109,16,11,2,27,43,8,3,15,38,2,1,25,58,102,125,12,3,11,4,3,18,240,13,48,18,23,0,64,27,6,20,9,23,1,4,13,17,14,69,11,22,43,39,19,34,29,14,10,11,8,1,2,29,21,1538.0,,
2023-07,23,111,5,12,8,45,49,8,15,14,22,2,0,16,78,143,120,7,8,33,7,4,12,295,11,32,5,12,3,88,25,11,50,21,11,1,1,4,21,11,64,9,32,76,48,39,42,19,15,17,8,54,1,675,39,23,2482.0,,
2023-08,23,97,10,24,2,58,58,13,8,13,31,3,0,15,50,161,107,6,9,44,10,8,28,128,14,34,6,25,1,94,30,11,25,20,21,2,2,5,33,13,29,7,45,54,25,21,30,39,18,18,13,13,0,27,39,33,1630.0,,
2023-09,23,125,9,12,4,44,44,19,11,10,28,4,0,48,34,129,110,7,1,16,13,5,25,27,8,24,8,20,3,93,25,5,23,8,12,1,1,4,33,9,36,8,10,43,23,5,29,12,11,11,18,17,2,10,15,17,1269.0,,
2023-10,23,101,8,19,4,39,44,23,4,21,15,4,0,21,54,104,115,10,4,14,8,4,7,16,3,19,4,28,7,99,24,14,8,7,18,1,0,4,43,13,43,2,14,32,18,8,24,113,10,15,12,8,0,8,4,16,1258.0,,
2023-11,23,103,22,11,5,40,42,7,9,11,10,2,1,22,35,109,132,15,4,110,8,6,14,0,11,17,10,16,5,73,14,2,5,8,21,1,0,5,20,8,45,6,16,13,5,13,18,106,7,11,17,5,1,4,4,26,1231.0,,
2023-12,23,77,8,10,1,35,31,6,11,7,15,2,1,19,34,85,56,8,6,23,4,3,10,1,11,14,13,16,0,67,12,2,12,13,17,0,4,3,29,11,27,4,34,12,3,6,16,150,3,9,43,8,1,6,0,6,1005.0,,
2024-01,23,70,8,10,2,37,36,27,6,14,4,5,1,9,24,69,109,14,7,26,3,28,8,1,9,65,4,17,2,43,23,1,11,4,17,0,1,6,17,4,41,5,26,7,18,1,9,168,11,7,17,17,0,7,0,4,1080.0,,
2024-02,23,114,11,16,0,36,30,10,5,14,21,2,0,33,45,111,96,10,7,15,9,3,17,1,10,164,5,10,1,57,24,6,4,8,28,0,2,2,44,19,23,13,23,6,8,3,27,219,12,15,11,3,1,3,0,3,1360.0,,
2024-03,23,131,13,13,4,32,44,19,4,7,15,7,0,14,42,68,99,9,4,10,15,3,15,1,9,65,7,19,2,54,18,0,17,8,29,0,1,11,31,3,26,10,23,17,9,11,19,129,11,26,43,25,1,6,0,10,1209.0,,
2024-04,23,138,14,18,1,46,52,12,4,7,10,3,0,20,46,115,87,11,5,16,12,7,12,3,4,51,7,13,4,56,23,3,16,9,31,0,0,10,25,19,55,13,14,23,16,23,17,152,24,8,17,21,0,7,1,18,1319.0,,
2024-05,23,97,9,14,3,46,39,5,16,9,14,2,2,15,30,135,126,6,3,19,10,4,11,41,6,59,5,13,2,93,22,11,30,3,28,1,1,11,28,13,32,10,21,43,53,16,35,66,9,12,14,41,2,8,41,37,1422.0,,
2024-06,23,65,27,23,2,39,48,12,9,12,22,1,0,30,44,106,123,16,10,23,14,1,13,174,8,74,3,12,2,80,31,5,11,7,47,3,1,11,24,13,64,4,25,61,68,14,43,55,14,9,6,11,0,2,54,26,1602.0,,
2024-07,23,79,14,14,4,63,44,12,7,11,13,0,1,17,45,148,91,15,4,31,13,2,12,76,5,47,4,13,3,105,48,13,27,13,30,2,1,11,17,10,69,22,36,304,273,86,82,31,16,13,15,15,2,10,33,32,2104.0,,
2024-08,23,112,5,22,3,48,45,11,8,8,38,2,0,25,58,127,217,16,4,34,12,0,8,50,13,61,10,12,2,92,29,20,15,11,18,2,9,12,18,14,47,10,26,60,52,89,31,14,12,9,14,6,0,6,21,23,1611.0,,
2024-09,23,87,8,14,4,36,32,3,6,9,18,3,0,18,56,112,144,12,5,18,7,2,12,24,6,34,9,21,2,104,32,2,8,7,24,1,8,2,15,13,74,11,70,40,35,85,24,5,12,8,8,16,0,6,14,10,1336.0,,
2024-10,23,82,19,17,3,30,35,11,9,19,11,3,1,29,34,110,141,6,3,9,8,4,15,1,6,17,5,14,1,98,18,9,7,6,14,1,3,5,25,6,47,6,35,32,26,120,23,14,4,19,7,6,0,2,5,18,1199.0,,
2024-11,23,86,12,18,2,39,29,9,4,9,13,2,1,22,41,93,143,22,2,20,6,4,10,0,13,15,2,6,5,64,5,5,7,9,15,2,3,11,16,9,53,6,43,28,13,22,13,44,6,4,10,12,2,5,0,22,1057.0,,
2024-12,23,70,24,13,2,33,21,10,5,22,7,0,1,11,32,95,137,13,3,36,9,9,8,4,7,7,9,9,3,51,25,3,2,7,21,0,4,7,26,9,14,3,20,4,17,57,10,3,9,4,9,6,1,7,0,11,930.0,,
2025-01,23,129,3,6,0,49,28,15,7,35,7,2,4,15,19,84,141,6,5,24,8,39,10,5,27,28,5,11,5,47,15,2,9,4,5,0,1,5,18,4,51,7,45,8,3,10,5,4,10,5,8,8,0,6,0,5,1002.0,,
2025-02,23,105,8,18,0,29,25,15,7,21,2,3,3,24,30,90,120,12,5,13,8,22,9,0,13,38,11,5,4,40,11,3,9,9,20,0,2,4,32,9,21,2,19,4,5,54,4,7,7,6,9,5,1,11,0,1,935.0,,
2025-03,23,93,15,17,2,39,25,7,9,10,27,1,1,25,45,105,126,12,5,12,13,8,12,2,5,50,9,15,3,63,31,3,18,11,16,1,1,7,21,19,28,3,21,15,31,6,28,5,16,6,24,15,0,3,0,10,1095.0,,
2025-04,23,116,3,30,3,39,36,7,10,14,20,1,2,14,51,94,128,20,6,16,13,4,9,0,4,116,3,16,3,72,25,8,13,17,45,1,0,4,25,20,40,8,38,23,20,14,19,187,9,11,18,38,1,1,0,14,1449.0,,
2025-05,23,133,14,38,1,55,46,8,9,8,31,4,0,17,52,120,124,14,5,22,18,3,18,2,9,77,8,8,1,113,31,3,9,4,22,1,0,4,22,6,55,3,38,41,44,37,46,58,14,12,14,17,0,4,37,22,1502.0,,
2025-06,23,132,16,24,3,59,45,12,5,14,41,0,1,22,60,153,119,11,2,74,11,3,14,126,11,51,7,15,4,117,36,7,11,10,17,0,0,4,32,16,55,4,29,53,70,27,37,82,21,11,41,21,1,3,53,32,1825.0,,
2025-07,23,130,6,24,9,52,46,14,9,6,34,2,0,38,77,167,133,16,4,69,12,7,4,68,9,48,4,10,7,137,52,6,21,13,33,0,1,5,30,15,22,2,36,49,58,17,44,80,21,9,38,30,2,11,57,23,1817.0,,
2025-08,23,131,11,13,12,65,35,20,8,11,17,1,0,25,63,158,170,15,6,20,11,5,4,29,7,38,4,20,2,115,54,4,14,8,16,0,2,6,37,13,32,3,27,59,53,38,35,105,19,11,58,22,0,15,22,37,1706.0,,
2025-09,23,155,16,21,4,36,41,19,14,11,8,3,1,25,89,157,182,14,2,26,8,6,18,15,12,39,6,17,5,103,42,4,8,11,30,1,0,5,22,7,47,13,34,58,26,3,31,33,21,10,27,4,0,5,15,19,1529.0,,
2025-10,23,126,25,17,0,34,27,8,1,34,19,2,0,26,50,96,149,19,3,19,8,1,17,27,15,23,1,17,5,98,21,6,8,11,14,0,0,1,24,5,38,5,28,33,26,2,38,48,15,10,24,7,0,5,6,18,1260.0,,
2025-11,23,83,11,8,0,37,20,15,5,30,4,1,6,23,42,97,135,14,4,21,5,2,9,2,17,11,0,12,6,48,22,7,6,6,20,0,1,2,23,11,23,9,19,13,20,13,25,76,9,3,13,6,0,6,0,41,1042.0,,
2025-12,23,93,3,5,2,39,19,6,6,16,6,0,1,19,30,72,119,12,3,29,2,10,5,3,11,24,5,3,1,46,11,6,2,2,14,2,1,5,17,6,40,5,42,5,7,3,10,55,3,6,24,4,1,6,0,3,870.0,,
2019-01,24,26,49,23,1,53,23,8,0,2,0,5,0,0,0,0,0,0,2,1,0,0,6,0,2,37,0,0,10,0,0,2,6,107,20,0,0,0,0,0,30,2,5,0,0,10,8,41,0,0,51,1,0,0,0,0,,531.0,
2019-02,24,37,35,11,1,35,44,11,1,2,2,7,0,0,6,55,12,13,6,15,2,0,4,1,2,381,11,0,7,6,14,14,18,16,26,0,0,3,3,0,142,1,15,1,0,91,25,67,7,0,74,8,1,0,0,0,,1233.0,
2019-03,24,69,48,47,4,54,57,3,1,39,9,10,1,13,18,89,155,21,7,21,23,9,5,3,10,471,43,7,10,104,27,18,30,21,66,1,2,17,11,15,217,14,51,13,6,15,20,23,12,1,78,30,3,5,0,13,,2060.0,
2019-04,24,64,38,69,2,48,86,10,9,31,9,4,0,19,27,55,247,39,5,14,47,11,10,1,6,394,35,10,15,132,29,29,88,39,109,0,2,10,12,20,175,18,65,21,22,35,30,62,9,5,50,76,0,5,0,22,,2370.0,
2019-05,24,46,32,82,8,59,50,4,3,20,9,8,7,25,36,90,288,39,2,22,32,2,12,5,4,439,41,21,14,175,67,30,97,47,78,0,5,23,15,25,112,10,87,19,7,32,36,94,4,9,28,114,2,10,18,46,,2590.0,
2019-06,24,65,42,101,11,58,42,5,5,12,6,3,6,29,40,111,568,39,3,24,29,8,23,8,3,392,28,11,16,251,56,23,66,34,115,1,3,16,20,21,171,9,64,48,34,42,30,153,5,8,21,58,0,4,44,68,,3053.0,
2019-07,24,61,49,86,9,69,52,7,3,27,13,9,6,79,57,113,716,34,4,37,26,2,7,189,2,315,58,26,23,300,57,40,35,37,60,4,7,18,22,16,243,17,77,36,46,29,45,164,13,3,276,48,1,7,60,53,,3793.0,
2019-08,24,87,51,72,5,76,56,4,5,8,11,6,2,49,51,116,740,40,4,30,26,9,10,17,13,249,36,23,17,319,79,28,47,41,167,0,1,10,23,13,221,8,70,25,26,28,44,150,7,4,169,30,1,6,45,42,,3417.0,
2019-09,24,47,77,80,1,46,61,5,3,17,9,6,2,27,34,102,670,30,5,21,24,6,10,12,5,209,31,22,14,318,41,33,34,32,122,3,1,14,15,18,176,12,81,44,26,31,35,155,7,6,85,36,5,3,31,28,,2968.0,
2019-10,24,53,82,79,4,67,59,7,4,22,3,3,6,27,33,86,418,41,7,18,22,2,10,5,5,170,46,6,12,231,29,38,29,21,138,1,15,17,26,4,241,13,72,42,41,12,30,106,3,9,100,48,6,5,6,52,,2632.0,
2019-11,24,66,46,53,2,51,33,6,4,16,2,7,5,12,27,59,697,25,0,14,17,4,10,4,10,119,48,3,9,134,25,21,19,11,82,1,8,20,12,26,224,15,56,21,20,1,6,31,6,11,59,15,1,3,0,135,,2312.0,
2019-12,24,70,90,31,3,66,22,2,4,23,1,1,1,19,15,84,534,34,3,14,20,6,6,8,11,63,32,8,7,129,21,22,22,11,129,4,10,14,13,14,268,3,52,13,5,12,7,21,3,5,101,9,0,0,0,60,,2126.0,
2020-01,24,81,67,48,3,63,42,4,4,54,5,5,10,24,23,80,696,29,5,10,10,4,22,2,5,153,56,5,12,145,38,11,26,19,58,2,8,10,12,13,290,14,115,6,8,7,8,15,2,1,79,36,1,6,0,18,,2470.0,
2020-02,24,65,60,36,2,53,39,4,4,24,4,5,11,8,17,73,526,35,3,4,27,4,9,2,5,129,8,10,9,121,30,18,12,12,65,0,5,7,19,12,92,6,58,5,2,13,5,12,2,9,34,9,0,2,0,6,,1732.0,
2020-03,24,35,50,35,2,41,32,2,30,20,3,6,11,21,26,64,542,30,2,13,14,9,11,2,11,98,35,14,7,130,39,9,20,13,112,3,4,14,13,11,166,11,66,5,5,10,17,49,2,11,12,23,1,7,0,17,,1936.0,
2020-04,24,29,35,28,7,63,27,4,81,13,4,1,4,15,24,92,501,16,3,10,20,6,6,1,8,103,23,24,5,203,39,9,20,8,78,4,8,25,9,14,79,5,44,11,7,47,21,56,6,1,11,33,1,6,0,46,,1944.0,
