YEAR_MONTH,COMMUNITY_AREA,Abandoned Vehicle Complaint,Alley Light Out Complaint,Alley Pothole Complaint,Alley Sewer Inspection Request,Blue Recycling Cart,Building Violation,Buildings - Plumbing Violation,Business Complaints,Check for Leak,Clean Vacant Lot Request,Consumer Fraud Complaint,Coyote Interaction Complaint,Dead Animal Pick-Up Request,Fly Dumping Complaint,Garbage Cart Maintenance,Graffiti Removal Request,Inspect Public Way Request,Low Water Pressure Complaint,Missed Garbage Pick-Up Complaint,No Building Permit and Construction Violation,No Water Complaint,Nuisance Animal Complaint,Open Fire Hydrant Complaint,Pet Wellness Check Request,Pothole in Street Complaint,Recycling Pick Up,Report an Injured Animal,Restaurant Complaint,Rodent Baiting/Rat Complaint,Sanitation Code Violation,Sewer Cave-In Inspection Request,Sewer Cleaning Inspection Request,Sidewalk Inspection Request,Sign Repair Request - All Other Signs,Sign Repair Request - Do Not Enter Sign,Sign Repair Request - One Way Sign,Sign Repair Request - Stop Sign,Stray Animal Complaint,Street Cleaning Request,Street Light Out Complaint,Street Light Pole Damage Complaint,Traffic Signal Out Complaint,Tree Debris Clean-Up Request,Tree Emergency,Tree Planting Request,Tree Removal Inspection,Tree Trim Request (NO LONGER BEING ACCEPTED),Vacant/Abandoned Building Complaint,Vicious Animal Complaint,Water Lead Test Kit Request,Water On Street Complaint,Water Quality Concern,Water in Basement Complaint,Weed Removal Request,Yard Waste Pick-Up Request,total_volume_area_5,total_volume_area_6,total_volume_area_7,total_volume_area_21,total_volume_area_22
2019-11,5,21,22,18,0,21,10,1,1,9,0,1,0,8,4,68,165,15,0,3,12,0,1,1,3,65,4,4,1,38,5,9,9,7,16,0,4,1,4,9,72,6,33,27,28,11,7,67,0,2,43,7,0,0,0,100,963.0,,,,
2019-12,5,36,5,11,0,22,12,3,3,7,0,2,2,3,1,32,189,19,3,7,4,2,1,2,2,35,2,2,1,20,5,5,14,2,26,0,1,6,6,0,61,1,17,6,7,0,3,26,1,2,41,9,0,1,0,27,695.0,,,,
2020-01,5,24,10,16,1,35,15,3,0,4,0,1,12,9,5,34,309,21,1,1,6,1,1,3,1,78,6,1,4,27,6,4,6,8,23,0,0,7,4,3,57,0,15,4,10,2,3,67,2,0,23,9,1,2,0,7,892.0,,,,
2020-02,5,47,15,17,1,30,16,1,5,3,1,2,13,1,5,31,360,19,1,3,5,4,0,0,1,68,5,5,1,18,5,9,4,3,45,1,2,12,2,3,55,2,16,1,1,4,4,36,3,2,13,13,1,0,0,3,918.0,,,,
2020-03,5,17,10,9,1,14,14,0,14,4,0,1,10,19,3,33,377,14,1,2,1,3,8,1,4,72,4,4,4,32,7,7,8,2,26,2,3,7,3,2,83,0,24,7,5,4,8,40,0,2,9,17,0,2,0,2,946.0,,,,
2020-04,5,12,4,54,1,22,9,0,25,2,1,3,2,8,6,32,200,9,1,3,2,0,7,2,1,83,3,4,0,76,8,7,27,4,16,0,1,3,4,5,23,0,11,6,10,5,9,73,3,7,8,24,0,0,0,20,846.0,,,,
2020-05,5,21,0,16,8,37,9,2,18,13,2,1,2,10,14,57,204,13,3,5,7,2,4,9,0,35,2,14,2,104,12,7,42,11,30,0,0,4,1,4,44,3,11,8,10,16,18,86,2,2,4,38,2,23,3,35,1030.0,,,,
2020-06,5,29,0,6,3,59,7,1,11,10,2,0,1,13,13,62,195,18,2,10,8,1,2,0,1,27,8,6,1,142,11,5,23,13,67,0,10,12,3,1,48,3,17,47,55,22,35,132,6,2,9,34,3,4,3,35,1238.0,,,,
2020-07,5,63,5,11,1,37,11,2,21,21,2,0,3,33,6,74,181,22,2,6,6,1,4,7,1,34,5,8,3,141,24,11,23,8,72,2,2,4,3,3,35,6,23,21,34,8,32,93,1,1,7,16,0,1,7,33,1181.0,,,,
2020-08,5,51,5,16,0,48,5,0,14,1,0,1,3,28,8,68,101,13,2,5,11,0,8,0,2,34,5,17,1,144,12,11,9,16,19,0,0,1,5,8,98,17,62,448,458,15,89,150,2,1,11,12,2,0,3,39,2079.0,,,,
2020-09,5,42,8,12,1,35,8,0,15,36,3,1,0,23,9,54,187,16,1,4,6,2,4,4,0,39,3,5,4,100,10,11,12,13,29,0,4,5,2,2,81,2,18,123,70,13,26,85,3,8,59,24,2,0,7,28,1259.0,,,,
2020-10,5,33,3,15,0,30,9,1,14,7,1,1,3,19,8,48,114,16,0,4,6,0,6,0,3,44,4,20,2,87,11,7,15,6,9,0,1,5,2,2,61,2,15,21,12,11,15,59,1,3,7,6,0,1,0,38,808.0,,,,
2020-11,5,16,7,7,1,37,9,1,18,6,1,0,1,7,5,35,116,19,1,8,3,3,6,1,3,27,2,7,0,56,5,2,9,8,41,0,1,7,5,8,35,4,17,21,13,5,10,37,0,7,4,4,1,3,0,105,755.0,,,,
2020-12,5,25,8,7,0,21,10,1,20,6,0,1,5,24,6,50,399,15,0,9,4,2,5,0,0,26,8,2,4,58,7,2,5,9,24,0,0,4,1,6,60,2,18,8,8,2,7,11,0,6,9,8,1,0,0,20,934.0,,,,
2021-01,5,23,6,23,0,45,8,0,12,16,0,2,9,2,0,47,93,5,1,4,2,7,3,1,2,67,6,2,3,60,5,0,5,7,20,0,0,4,6,0,37,5,14,5,11,1,4,21,1,1,15,4,0,3,0,9,627.0,,,,
2021-02,5,35,6,2,4,22,22,2,8,3,0,3,0,5,4,23,125,6,1,43,4,8,1,2,1,117,14,4,0,29,17,5,1,6,27,0,0,2,1,1,32,2,8,2,3,2,1,6,1,1,3,0,0,1,0,2,618.0,,,,
2021-03,5,37,6,22,4,50,12,2,3,14,1,2,1,6,12,56,289,11,1,16,7,8,1,1,0,93,12,4,4,104,20,11,15,9,36,0,3,7,9,13,47,6,25,2,15,9,11,43,3,1,30,8,2,1,0,16,1121.0,,,,
2021-04,5,36,2,12,1,34,11,0,3,5,0,0,0,13,5,50,253,17,0,2,6,0,5,0,0,31,3,4,2,96,13,15,4,10,32,1,0,1,4,5,30,4,13,10,9,24,16,42,3,2,13,1,2,2,0,23,870.0,,,,
2021-05,5,24,2,12,0,24,9,6,1,14,2,2,0,12,4,50,146,13,1,7,5,1,1,0,1,36,2,2,0,117,13,5,4,16,8,2,2,5,2,1,14,3,38,22,39,14,25,79,1,3,9,5,0,3,6,32,845.0,,,,
2021-06,5,32,0,6,5,32,10,0,1,9,1,1,0,14,5,57,259,16,2,7,6,1,3,1,1,28,10,10,4,160,26,6,21,16,25,1,1,1,5,3,23,4,41,49,48,10,38,90,1,1,7,22,1,10,0,37,1168.0,,,,
2021-07,5,30,4,10,2,37,22,3,0,48,2,2,2,19,7,64,217,5,0,8,14,0,2,0,0,37,4,11,3,163,14,3,13,11,25,1,0,4,4,7,24,6,32,48,50,10,35,91,2,4,122,10,1,2,7,30,1272.0,,,,
2021-08,5,27,3,12,2,25,23,1,6,5,0,3,2,21,13,54,218,10,2,7,7,1,4,3,2,18,3,5,3,139,10,3,10,14,28,2,4,2,2,6,8,6,12,47,43,22,29,100,1,1,32,10,1,6,10,35,1063.0,,,,
2021-09,5,43,1,12,3,37,7,3,7,5,0,0,1,10,4,51,108,15,1,2,9,0,1,2,3,14,1,9,3,119,13,3,7,17,45,3,5,5,5,2,30,5,25,24,22,20,26,107,0,1,26,3,0,1,9,22,897.0,,,,
2021-10,5,28,4,14,2,26,7,0,8,16,1,2,0,18,7,38,147,10,2,1,3,3,3,2,0,16,4,12,3,79,6,4,25,10,46,0,5,9,4,3,19,2,40,43,53,16,20,59,1,5,16,21,2,7,0,30,902.0,,,,
2021-11,5,24,3,4,0,19,18,2,4,13,1,0,23,11,8,33,158,17,0,3,7,1,2,7,2,23,3,8,1,55,7,8,7,6,33,0,0,7,2,6,24,1,23,31,13,12,10,30,3,4,12,3,0,2,0,98,792.0,,,,
2021-12,5,24,1,6,2,25,17,1,2,3,0,0,6,11,7,38,101,12,2,8,8,0,0,2,0,14,4,5,2,46,4,5,5,9,24,1,1,7,1,8,29,3,26,27,16,5,7,16,0,1,3,10,0,3,0,65,623.0,,,,
2022-01,5,23,2,2,1,32,4,0,12,16,0,1,1,3,7,29,119,9,0,5,3,6,0,2,0,29,9,2,0,31,7,1,6,16,13,0,0,1,0,0,15,4,17,3,1,1,6,3,3,0,8,3,0,2,0,9,467.0,,,,
2022-02,5,37,5,1,1,18,9,1,2,6,0,0,0,7,4,23,55,7,0,5,7,2,3,0,0,72,7,3,2,26,2,6,15,7,17,0,1,1,2,0,11,2,30,8,4,59,5,0,1,0,8,8,1,0,0,1,492.0,,,,
2022-03,5,40,4,16,2,20,5,5,1,10,2,1,0,9,6,28,145,13,2,3,4,5,1,31,1,176,5,4,3,66,9,7,13,14,41,1,3,12,3,3,21,0,34,18,5,30,20,1,1,4,9,28,0,4,0,19,908.0,,,,
2022-04,5,47,1,30,2,25,10,3,1,11,0,2,0,9,8,34,176,10,1,1,6,2,2,3,3,257,2,5,7,65,11,11,26,17,14,1,6,3,0,4,21,5,13,19,10,30,29,41,5,0,11,24,0,3,0,20,1047.0,,,,
2022-05,5,40,4,41,1,25,12,1,2,6,0,1,6,19,5,38,195,11,3,4,3,3,6,5,2,144,5,17,3,99,14,16,20,20,19,0,3,1,5,5,18,7,88,22,29,23,18,66,2,0,12,42,0,0,4,51,1186.0,,,,
2022-06,5,46,4,29,1,37,9,3,2,23,0,1,2,19,8,31,126,18,1,14,10,1,3,1,1,53,4,10,1,78,16,11,24,10,19,0,5,7,3,13,21,6,39,52,32,48,44,138,3,5,13,15,0,1,4,47,1112.0,,,,
2022-07,5,42,3,25,3,24,15,0,0,18,2,4,1,19,11,49,142,5,3,5,9,2,8,3,1,30,6,7,1,75,11,11,22,33,17,1,2,3,0,6,15,8,36,36,29,18,31,58,5,1,17,29,1,0,8,34,945.0,,,,
2022-08,5,43,8,16,0,24,12,1,3,3,1,0,0,26,5,62,157,23,3,6,2,1,3,1,0,35,4,21,2,97,14,11,13,21,9,0,4,2,1,4,48,9,27,126,124,22,43,112,4,1,3,6,1,1,9,32,1206.0,,,,
2022-09,5,58,3,8,0,34,12,1,1,2,3,1,1,26,9,45,156,13,1,10,8,5,1,8,4,13,5,5,2,95,8,4,8,13,10,1,4,10,6,1,27,2,18,37,22,26,24,61,0,3,58,12,0,65,4,25,979.0,,,,
2022-10,5,46,3,17,1,27,12,2,0,1,0,1,1,10,3,36,120,17,1,5,6,1,6,2,0,29,1,6,0,71,6,3,3,12,9,1,2,2,5,3,14,6,9,13,12,23,16,42,2,7,13,4,0,0,4,43,679.0,,,,
2022-11,5,49,6,6,0,21,12,2,1,5,0,1,2,10,7,35,121,9,1,3,8,1,1,1,1,21,0,2,0,48,5,0,7,5,8,0,1,5,2,7,45,4,20,55,35,13,14,26,3,0,5,5,0,0,0,126,765.0,,,,
2022-12,5,29,8,15,0,26,13,1,2,6,2,1,3,6,5,43,82,7,1,8,10,9,5,0,0,85,6,4,0,46,5,1,6,4,10,0,2,7,7,2,15,3,36,10,3,5,4,17,1,0,3,1,1,1,0,40,607.0,,,,
2023-01,5,41,9,20,0,25,10,1,1,7,0,0,9,10,6,32,94,2,0,6,5,2,2,16,1,148,2,4,2,51,7,5,7,9,9,0,1,1,2,3,20,2,25,4,9,35,8,0,0,1,9,16,0,1,0,13,693.0,,,,
2023-02,5,41,1,27,0,10,11,0,1,9,2,3,1,9,0,21,69,6,2,10,6,2,5,18,1,121,4,3,3,37,12,3,34,8,10,0,3,2,4,6,16,1,17,15,10,33,14,33,5,0,7,40,0,4,0,6,706.0,,,,
2023-03,5,42,6,28,2,17,10,1,0,4,0,0,8,6,4,44,61,11,2,1,6,2,6,0,1,80,6,6,5,52,10,6,11,5,23,1,1,3,3,7,30,2,29,3,15,12,10,0,3,0,5,20,0,3,0,12,625.0,,,,
2023-04,5,51,19,35,0,24,25,0,0,6,3,0,0,13,4,48,91,8,2,2,11,1,2,1,2,75,3,6,1,70,9,6,13,14,13,0,1,1,0,4,46,6,9,20,7,31,19,14,1,2,11,12,1,0,0,33,776.0,,,,
2023-05,5,49,3,16,1,18,12,1,1,18,0,0,5,29,2,46,88,15,2,7,14,1,7,0,1,49,1,13,1,112,16,6,2,19,18,0,3,6,6,2,19,3,34,20,8,34,32,12,8,6,23,15,1,0,7,70,882.0,,,,
2023-06,5,69,8,12,0,24,19,0,0,4,1,1,3,19,12,41,93,14,0,12,18,1,2,1,1,42,2,7,0,115,21,7,6,22,6,1,0,3,4,7,42,2,14,22,19,41,40,21,4,6,36,6,1,3,10,26,891.0,,,,
2023-07,5,54,8,10,2,32,9,1,2,2,0,1,15,16,7,60,101,16,2,8,10,0,5,1,1,28,6,4,2,121,13,8,26,12,10,0,0,3,2,10,20,4,23,65,44,29,39,5,2,0,17,33,0,18,17,40,964.0,,,,
2023-08,5,44,5,13,0,48,15,2,4,6,1,1,8,17,8,67,79,13,2,9,7,14,2,5,0,46,1,11,4,117,12,9,11,22,13,0,1,2,4,3,15,4,23,30,23,38,46,10,2,1,7,5,0,2,8,38,878.0,,,,
2023-09,5,42,2,12,0,48,11,2,5,5,2,2,6,47,6,64,71,14,3,2,17,3,3,3,1,36,1,6,2,110,18,4,6,43,19,1,9,15,2,4,12,2,12,26,25,27,26,8,1,3,19,11,0,1,7,22,849.0,,,,
2023-10,5,38,7,21,1,22,8,1,3,18,1,0,4,3,6,35,99,21,2,4,8,8,7,0,6,45,4,7,2,60,5,2,11,28,25,4,10,7,2,4,47,1,63,26,15,21,30,17,1,8,6,9,1,5,4,41,834.0,,,,
2023-11,5,37,1,14,0,30,12,2,1,0,3,2,5,7,3,40,80,5,0,12,10,1,13,1,4,32,3,5,3,49,10,3,9,8,17,1,3,3,4,9,29,4,31,8,4,5,11,6,0,2,15,7,0,0,1,144,709.0,,,,
2023-12,5,31,2,19,1,26,3,2,2,5,0,0,6,13,5,33,103,7,1,4,5,1,1,11,4,61,6,1,1,51,9,5,7,7,13,0,3,6,5,13,44,1,11,6,4,0,11,2,2,1,11,22,2,0,0,54,644.0,,,,
2024-01,5,31,8,66,0,28,7,3,2,12,2,2,4,11,9,35,84,8,2,17,2,6,2,2,7,157,7,2,5,31,13,9,20,17,9,0,0,2,1,9,29,5,52,7,13,2,10,2,2,2,13,30,0,1,0,9,809.0,,,,
2024-02,5,50,2,33,2,20,8,1,2,14,2,0,3,11,5,28,115,12,4,5,8,1,2,1,1,98,3,10,1,47,9,11,2,8,18,0,3,0,2,11,21,3,27,17,7,14,13,9,7,2,14,7,1,0,0,11,706.0,,,,
2024-03,5,40,6,25,1,28,5,2,1,5,2,0,3,7,11,34,108,16,0,4,3,5,10,0,1,84,5,5,3,44,7,7,32,29,30,2,2,14,1,9,15,5,13,23,17,22,15,53,3,0,66,48,1,3,0,21,896.0,,,,
2024-04,5,42,2,55,1,31,9,2,1,15,2,1,4,11,4,43,137,12,1,4,3,1,5,2,0,70,4,6,1,64,12,5,23,24,15,0,0,3,2,14,31,5,15,25,26,35,36,75,2,2,42,56,0,2,2,42,1027.0,,,,
2024-05,5,58,6,37,1,30,10,2,3,9,1,2,10,11,10,40,92,17,3,6,5,1,5,1,0,62,8,19,1,63,13,10,32,31,11,0,1,7,9,6,30,9,18,127,99,40,44,76,2,3,15,79,0,1,3,86,1265.0,,,,
2024-06,5,31,9,20,1,31,14,6,0,9,1,0,3,20,14,34,212,13,1,7,4,7,7,2,0,58,5,7,1,68,8,15,10,38,15,0,0,3,1,8,49,18,19,104,75,36,42,54,5,0,15,34,1,0,7,47,1189.0,,,,
2024-07,5,41,15,28,2,26,21,1,0,11,3,0,3,35,17,52,134,19,1,7,3,1,3,3,2,49,2,9,1,98,18,9,9,46,15,0,3,4,3,3,42,6,35,177,114,32,64,37,6,4,14,17,0,2,14,44,1305.0,,,,
2024-08,5,44,3,9,0,43,9,2,1,3,2,0,2,34,10,49,156,16,1,9,10,3,6,3,2,40,5,9,2,78,10,9,6,40,19,1,0,3,3,6,13,5,33,36,58,21,28,80,1,2,11,8,0,0,7,32,983.0,,,,
2024-09,5,38,6,8,2,31,6,1,6,9,3,0,3,22,5,54,99,15,0,4,5,6,5,9,4,34,1,10,4,83,10,9,11,24,62,1,0,3,1,8,28,4,47,22,41,13,26,16,0,2,11,11,1,1,5,36,866.0,,,,
2024-10,5,36,6,14,0,28,12,0,1,7,0,1,5,24,10,44,120,14,3,6,7,2,8,1,2,41,1,14,1,85,7,6,12,23,10,1,2,2,3,5,36,1,34,37,43,14,26,100,2,1,34,4,4,0,4,61,965.0,,,,
2024-11,5,31,26,19,0,18,4,2,1,7,0,0,5,19,8,33,145,13,3,5,6,2,2,0,1,21,2,9,2,51,5,5,10,5,11,1,1,9,5,8,34,1,22,14,12,6,7,57,1,2,14,9,0,1,0,122,797.0,,,,
2024-12,5,29,0,0,2,21,8,1,3,8,1,3,10,8,6,34,148,6,2,5,3,2,5,3,0,12,7,3,3,29,6,1,3,4,15,0,4,4,3,4,24,3,30,7,9,7,1,94,0,0,16,9,0,0,0,77,683.0,,,,
2025-01,5,43,13,9,4,46,9,5,1,15,1,1,7,6,4,45,125,9,1,7,4,7,3,0,1,56,7,2,5,34,3,5,7,10,15,1,0,5,3,4,26,6,55,3,2,4,5,41,0,1,16,22,0,8,0,14,726.0,,,,
2025-02,5,36,25,12,1,20,5,6,5,11,0,0,1,8,6,32,103,7,1,2,11,6,4,8,1,84,4,3,1,32,5,10,2,12,13,0,3,2,1,5,22,2,29,2,4,20,6,9,2,1,10,3,4,3,0,6,611.0,,,,
2025-03,5,63,11,25,0,20,8,1,0,8,1,0,4,16,4,38,155,11,0,7,20,0,3,0,0,92,5,4,2,32,9,2,7,14,16,0,0,2,1,14,15,3,44,20,9,34,11,66,4,1,6,22,0,1,0,17,848.0,,,,
2025-04,5,52,3,28,2,29,14,3,1,6,2,0,2,17,2,50,86,20,1,7,18,0,2,1,0,84,2,11,3,58,19,7,11,18,15,2,7,15,1,10,26,9,41,14,18,91,21,54,2,2,7,50,2,1,0,56,1003.0,,,,
2025-05,5,74,1,39,0,29,15,1,2,5,1,1,5,7,9,35,94,6,0,3,6,3,1,0,2,164,4,4,1,78,10,5,23,17,20,0,0,9,4,15,18,2,48,47,61,36,44,16,0,1,12,12,0,3,8,58,1059.0,,,,
2025-06,5,59,1,30,2,29,13,1,2,2,4,1,4,21,8,37,117,14,2,16,4,0,1,1,4,109,5,9,6,117,13,10,34,14,14,0,6,5,0,4,23,0,38,47,74,22,41,21,9,3,15,23,1,0,8,69,1113.0,,,,
2025-07,5,47,4,14,3,34,10,1,3,7,1,2,2,23,13,67,97,26,2,14,11,2,3,4,0,115,5,12,4,171,14,5,17,21,16,3,3,3,2,3,19,2,25,43,55,132,42,53,3,1,30,30,1,2,16,55,1293.0,,,,
2025-08,5,54,1,14,9,47,13,1,1,5,3,2,6,37,6,59,108,10,0,13,8,0,1,10,2,40,4,14,0,114,9,17,12,14,14,1,0,8,1,3,26,5,51,27,50,25,38,55,4,2,57,24,0,8,12,46,1091.0,,,,
2025-09,5,52,4,10,1,26,5,0,0,15,0,1,0,25,9,57,119,12,9,10,12,5,3,1,3,18,4,20,3,111,17,3,12,8,21,0,1,1,4,7,21,2,14,32,50,27,33,29,3,2,44,16,0,1,7,35,925.0,,,,
2025-10,5,63,5,15,1,27,12,4,1,13,0,1,5,15,1,57,108,9,2,2,6,3,5,2,4,15,2,7,4,83,3,7,5,13,27,1,3,5,3,2,15,3,25,17,26,7,45,96,5,4,44,23,2,3,3,44,903.0,,,,
2025-11,5,49,3,6,1,27,4,1,4,20,1,0,6,16,8,42,102,14,0,3,1,2,3,1,2,17,5,4,4,56,5,4,4,7,8,1,1,6,2,4,22,3,32,14,18,6,12,167,0,6,22,2,0,2,0,143,893.0,,,,
2025-12,5,67,11,5,3,19,17,1,1,8,0,2,5,19,4,40,202,9,1,12,5,5,3,6,2,40,12,2,2,46,10,4,3,3,4,0,0,2,2,1,12,1,21,9,12,5,5,152,5,0,19,9,0,1,0,35,864.0,,,,
2019-01,6,0,38,6,0,17,41,6,0,0,0,3,0,0,0,0,0,0,1,0,0,0,3,0,1,30,2,0,14,0,0,3,6,53,33,0,0,0,0,0,27,0,6,0,0,1,0,35,1,0,41,6,1,0,0,0,,375.0,,,
2019-02,6,9,12,9,3,14,40,11,0,3,3,4,1,0,1,32,4,1,1,2,3,0,3,0,3,231,2,0,8,11,6,2,9,11,19,0,0,1,4,0,59,0,21,2,1,6,14,21,2,0,91,13,4,0,0,1,,698.0,,,
2019-03,6,65,31,39,1,23,32,5,4,8,1,7,3,11,6,34,96,22,3,5,11,10,4,3,2,355,2,5,9,117,19,23,28,15,235,2,25,22,2,6,115,10,68,11,3,12,5,61,5,0,61,27,0,3,0,14,,1686.0,,,
2019-04,6,30,17,36,4,24,32,6,3,38,2,3,12,22,12,49,133,35,6,9,19,12,4,2,1,187,2,7,12,137,30,31,33,11,122,1,2,16,6,16,109,9,168,13,40,23,16,34,2,0,50,28,2,2,0,23,,1643.0,,,
2019-05,6,32,20,44,3,13,43,6,5,9,2,8,8,13,15,43,144,19,5,8,19,7,9,5,2,167,2,19,10,131,34,18,43,16,106,6,9,7,13,8,92,3,81,25,17,10,25,55,0,6,23,68,3,7,2,35,,1523.0,,,
2019-06,6,34,29,24,2,23,40,6,7,20,1,12,1,22,41,43,502,20,6,7,15,8,12,1,2,146,1,19,23,223,47,18,75,28,113,3,5,8,13,11,190,12,72,51,74,19,61,161,2,1,24,74,2,5,5,34,,2398.0,,,
2019-07,6,28,14,37,5,32,47,3,3,13,0,7,2,36,41,69,421,30,1,21,19,3,15,5,4,146,7,19,21,271,90,33,49,16,93,0,8,3,15,4,136,3,63,26,37,24,57,300,2,8,264,42,0,3,8,34,,2638.0,,,
2019-08,6,29,37,50,4,34,34,3,2,8,3,5,0,40,31,77,350,21,3,13,18,3,8,1,4,176,4,19,16,324,74,15,39,148,93,3,11,12,12,17,180,6,80,29,39,17,83,1407,2,4,138,57,0,7,3,28,,3821.0,,,
2019-09,6,53,32,32,1,28,30,9,3,16,1,12,1,26,21,70,263,27,2,12,23,4,11,6,0,122,3,10,10,289,52,22,18,17,66,2,0,5,18,1,93,6,93,19,19,23,29,490,7,5,114,24,2,2,18,23,,2285.0,,,
2019-10,6,19,20,24,0,33,36,8,6,9,3,3,0,24,10,55,148,31,1,7,15,1,8,2,3,115,3,10,8,228,32,7,25,14,61,3,2,13,4,11,126,6,111,17,49,7,19,59,4,7,124,17,3,5,3,35,,1594.0,,,
2019-11,6,26,27,16,0,27,25,3,2,8,0,6,0,7,11,28,283,25,1,11,7,4,6,4,3,47,2,10,6,100,23,12,5,8,92,3,8,17,6,12,130,5,52,19,30,0,8,39,2,10,71,17,6,0,0,139,,1409.0,,,
2019-12,6,39,24,19,0,34,28,5,1,11,8,6,11,12,13,44,278,21,2,5,5,4,8,2,6,56,2,15,10,121,22,10,22,5,92,0,7,8,7,18,66,3,49,7,9,4,4,12,0,6,36,7,0,4,0,56,,1244.0,,,
2020-01,6,32,18,13,2,17,30,4,4,42,0,4,17,7,13,47,346,21,1,14,11,8,6,1,6,105,14,8,6,118,22,14,9,10,50,2,3,19,5,5,48,8,170,3,7,8,12,15,1,7,50,28,4,1,0,8,,1424.0,,,
2020-02,6,45,13,8,0,24,21,4,0,19,2,8,5,6,13,32,190,26,3,13,6,2,6,0,6,68,9,18,11,84,23,10,4,9,53,0,5,7,7,4,60,7,69,2,0,15,5,35,0,1,28,7,0,2,0,1,,996.0,,,
2020-03,6,14,7,12,0,25,26,10,20,15,0,6,8,28,11,33,485,21,0,14,7,5,12,2,1,66,7,5,13,107,31,4,7,6,163,7,12,13,8,7,74,8,68,5,7,5,11,29,0,5,20,23,2,4,0,11,,1490.0,,,
